iter	RMSE
0	40.26798442
1	39.031832
2	37.86492221
3	36.70501856
4	35.48743459
5	34.42921062
6	33.37017591
7	32.33917176
8	31.32556448
9	30.31863758
10	29.37345497
11	28.49136525
12	27.65888325
13	26.85631964
14	26.03963713
15	25.27798154
16	24.48460466
17	23.71172901
18	22.99069757
19	22.35288896
20	21.74218965
21	21.04383546
22	20.43261462
23	19.7914949
24	19.20861282
25	18.62824811
26	18.06220746
27	17.50523018
28	16.95546
29	16.41421677
30	15.94907491
31	15.52391813
32	15.05571619
33	14.63738227
34	14.23441512
35	13.85594943
36	13.4954355
37	13.11880101
38	12.76927978
39	12.40354371
40	12.06674826
41	11.7131688
42	11.4142325
43	11.09768035
44	10.76981747
45	10.48862344
46	10.1908346
47	9.914547816
48	9.662608799
49	9.391361452
50	9.143515382
51	8.908695237
52	8.689324117
53	8.471421471
54	8.285564012
55	8.094362496
56	7.894328392
57	7.709014656
58	7.495146387
59	7.295794095
60	7.113781206
61	6.942105418
62	6.781650837
63	6.611960305
64	6.470900533
65	6.311694997
66	6.154425493
67	5.993541674
68	5.855549105
69	5.6988432
70	5.557768511
71	5.412102957
72	5.285043766
73	5.166792886
74	5.030911215
75	4.919985502
76	4.804767204
77	4.706583763
78	4.599346758
79	4.506534887
80	4.405131854
81	4.310245953
82	4.207322919
83	4.120207475
84	4.03015632
85	3.940662707
86	3.86598612
87	3.784174178
88	3.719500681
89	3.650220046
90	3.57005211
91	3.510496602
92	3.439416825
93	3.380731773
94	3.314789291
95	3.266788249
96	3.21454635
97	3.156492107
98	3.096064167
99	3.039263504
100	2.992777387
101	2.942927368
102	2.89889088
103	2.852396032
104	2.812736198
105	2.772857591
106	2.727674225
107	2.6822905
108	2.645243378
109	2.607081056
110	2.572955009
111	2.53523036
112	2.504037986
113	2.469013984
114	2.44058348
115	2.410598402
116	2.381096001
117	2.35434542
118	2.326321437
119	2.313004692
120	2.297147201
121	2.274406691
122	2.267036482
123	2.25706261
124	2.2487436
125	2.224334417
126	2.195015501
127	2.18843905
128	2.177763005
129	2.168960003
130	2.147327808
131	2.140977361
132	2.122895817
133	2.101460353
134	2.081631057
135	2.062598589
136	2.056657601
137	2.039069517
138	2.027670884
139	2.007280598
140	2.000612478
141	1.976318772
142	1.963545556
143	1.944724437
144	1.926746499
145	1.913880327
146	1.903352548
147	1.89879541
148	1.892874741
149	1.884424725
150	1.876394118
151	1.859050629
152	1.850496573
153	1.845496584
154	1.838866246
155	1.831481548
156	1.826415018
157	1.818511056
158	1.802699002
159	1.788605845
160	1.782487691
161	1.777939569
162	1.768301191
163	1.762525416
164	1.758618752
165	1.753679591
166	1.745682882
167	1.739025979
168	1.734997896
169	1.731167324
170	1.714402498
171	1.710560072
172	1.695238706
173	1.691552065
174	1.687889346
175	1.683631563
176	1.670465359
177	1.660576808
178	1.657120516
179	1.644290406
180	1.632954623
181	1.629417202
182	1.626238274
183	1.620878026
184	1.617613247
185	1.611355531
186	1.600078662
187	1.594555789
188	1.591868712
189	1.579566733
190	1.568065211
191	1.562240366
192	1.559653648
193	1.549413223
194	1.543957265
195	1.534463632
196	1.522765646
197	1.520200938
198	1.50954253
199	1.504492528
200	1.496864212
201	1.493829514
202	1.484489239
203	1.476779364
204	1.469683591
205	1.466884539
206	1.462986973
207	1.460428099
208	1.457840492
209	1.454021374
210	1.451316892
211	1.449135696
212	1.444803003
213	1.44244855
214	1.440559314
215	1.431427563
216	1.427847583
217	1.425784628
218	1.422304836
219	1.413101962
220	1.411459207
221	1.405529827
222	1.402951871
223	1.399912981
224	1.398288529
225	1.396210159
226	1.387545722
227	1.384512409
228	1.377747077
229	1.370748053
230	1.369015517
231	1.367235504
232	1.360516996
233	1.352619503
234	1.350859269
235	1.349420073
236	1.348092425
237	1.34638839
238	1.338032439
239	1.332363263
240	1.331143098
241	1.329690386
242	1.328257861
243	1.32685722
244	1.320595459
245	1.314359383
246	1.313236767
247	1.308050262
248	1.302802917
249	1.296284232
250	1.291583996
251	1.290555606
252	1.285664102
253	1.280491632
254	1.275396576
255	1.27078462
256	1.269587133
257	1.267586431
258	1.263875294
259	1.262731833
260	1.261564835
261	1.26048923
262	1.259406809
263	1.255585197
264	1.254730935
265	1.25036095
266	1.245502333
267	1.239359696
268	1.237597544
269	1.236626357
270	1.235121077
271	1.233496341
272	1.228995837
273	1.224143689
274	1.220378335
275	1.218903555
276	1.218018853
277	1.214083433
278	1.213223831
279	1.208599552
280	1.207766009
281	1.202965723
282	1.202121631
283	1.195629399
284	1.194285493
285	1.19057881
286	1.187060148
287	1.186299879
