iter	Passed	Remaining
0	133	133746
1	137	68842
2	145	48312
3	149	37322
4	155	31004
5	160	26536
6	164	23302
7	172	21361
8	177	19526
9	186	18494
10	192	17334
11	200	16489
12	205	15587
13	211	14872
14	215	14150
15	220	13540
16	224	12959
17	230	12558
18	234	12099
19	238	11687
20	244	11383
21	248	11038
22	251	10685
23	261	10614
24	276	10779
25	279	10452
26	282	10180
27	285	9920
28	288	9662
29	290	9400
30	292	9133
31	293	8888
32	295	8652
33	296	8435
34	299	8255
35	300	8056
36	302	7863
37	303	7678
38	304	7504
39	305	7340
40	307	7182
41	308	7031
42	309	6884
43	310	6743
44	311	6607
45	312	6483
46	313	6364
47	315	6249
48	316	6136
49	317	6025
50	318	5919
51	319	5816
52	320	5718
53	321	5623
54	322	5534
55	323	5446
56	324	5366
57	325	5283
58	326	5207
59	328	5144
60	329	5069
61	330	4997
62	331	4928
63	332	4863
64	333	4797
65	334	4733
66	335	4671
67	336	4610
68	337	4552
69	338	4495
70	339	4441
71	340	4388
72	343	4356
73	344	4306
74	345	4256
75	346	4208
76	347	4160
77	348	4114
78	349	4069
79	350	4028
80	351	3985
81	352	3944
82	353	3905
83	354	3865
84	355	3825
85	357	3799
86	358	3766
87	360	3731
88	361	3695
89	362	3660
90	363	3627
91	365	3603
92	366	3572
93	368	3548
94	369	3520
95	372	3503
96	373	3477
97	375	3452
98	376	3429
99	378	3402
100	379	3376
101	380	3351
102	382	3327
103	383	3301
104	384	3275
105	386	3262
106	387	3237
107	388	3212
108	390	3188
109	391	3163
110	392	3140
111	393	3116
112	394	3093
113	395	3071
114	396	3049
115	397	3027
116	398	3005
117	399	2983
118	400	2964
119	402	2950
120	403	2929
121	404	2910
122	405	2887
123	405	2867
124	406	2847
125	407	2828
126	408	2809
127	409	2789
128	410	2771
129	411	2755
130	412	2737
131	413	2717
132	414	2700
133	416	2689
134	417	2672
135	418	2656
136	418	2638
137	419	2622
138	420	2607
139	421	2591
140	422	2573
141	423	2558
142	424	2543
143	425	2528
144	426	2514
145	427	2500
146	428	2486
147	430	2479
148	431	2465
149	432	2451
150	433	2437
151	434	2423
152	435	2410
153	435	2395
154	436	2382
155	438	2370
156	438	2355
157	439	2342
158	440	2331
159	441	2318
160	442	2304
161	442	2291
162	445	2286
163	446	2276
164	447	2263
165	448	2252
166	449	2241
167	450	2229
168	451	2217
169	451	2204
170	452	2194
171	453	2181
172	454	2171
173	454	2159
174	455	2147
175	456	2137
176	457	2127
177	459	2122
178	460	2110
179	461	2100
180	462	2091
181	462	2079
182	463	2068
183	464	2059
184	465	2048
185	466	2039
186	466	2030
187	467	2020
188	468	2009
189	469	2001
190	470	1992
191	471	1983
192	471	1973
193	474	1970
194	475	1963
195	476	1955
196	477	1948
197	478	1938
198	479	1930
199	480	1921
200	481	1913
201	483	1909
202	484	1902
203	485	1895
204	486	1888
205	489	1887
206	491	1883
207	492	1877
208	494	1870
209	495	1863
210	497	1859
211	499	1857
212	501	1852
213	503	1850
214	504	1841
215	505	1835
216	506	1828
217	507	1821
218	508	1814
219	509	1807
220	510	1799
221	511	1793
222	512	1787
223	514	1780
224	514	1773
225	515	1766
226	518	1764
227	519	1758
228	520	1751
229	521	1745
230	522	1739
231	523	1732
232	524	1726
233	525	1721
234	526	1714
235	527	1707
236	528	1700
237	529	1695
238	530	1689
239	532	1685
240	532	1678
241	536	1680
242	537	1675
243	538	1669
244	539	1663
245	540	1658
246	541	1651
247	542	1645
248	544	1642
249	547	1642
250	548	1637
251	549	1631
252	550	1626
253	552	1622
254	553	1616
255	554	1611
256	555	1606
257	556	1601
258	558	1596
259	559	1591
260	560	1586
261	561	1582
262	562	1577
263	563	1571
264	564	1565
265	565	1560
266	566	1555
267	567	1550
268	569	1546
269	570	1541
270	570	1535
271	571	1530
272	572	1525
273	575	1525
274	576	1520
275	577	1515
276	578	1510
277	579	1505
278	580	1501
279	582	1497
280	583	1493
281	584	1489
282	585	1484
283	586	1479
284	588	1475
285	589	1471
286	590	1467
287	591	1462
288	592	1458
289	594	1454
290	595	1450
291	596	1446
292	597	1441
293	598	1436
294	599	1432
295	600	1427
296	601	1423
297	604	1423
298	605	1419
299	606	1414
300	607	1410
301	608	1406
302	609	1402
303	611	1399
304	613	1397
305	615	1395
306	616	1390
307	618	1390
308	620	1388
309	621	1384
310	623	1380
311	624	1376
312	626	1375
313	628	1373
314	630	1370
315	631	1366
316	634	1366
317	635	1363
